,V1,V2,V3,V4,V5
results,Number of top features,Iteration,AUC_train,Accuracy_bacterial_train,Accuracy_viral_train
,17,1,0.8987,0.8417,0.8443
,17,2,0.8968,0.8167,0.8197
,17,3,0.8956,0.825,0.8607
,17,4,0.901,0.825,0.8197
,17,5,0.9011,0.825,0.8443
,17,6,0.9006,0.825,0.8607
,17,7,0.898,0.8333,0.8197
,17,8,0.9003,0.8417,0.8279
,17,9,0.8913,0.8333,0.8033
,17,10,0.8952,0.825,0.8361
,18,1,0.8956,0.8333,0.8279
,18,2,0.8965,0.8333,0.8279
,18,3,0.8952,0.8167,0.8443
,18,4,0.9002,0.825,0.8361
,18,5,0.898,0.8167,0.8443
,18,6,0.8996,0.8417,0.8525
,18,7,0.9051,0.825,0.8361
,18,8,0.9049,0.8417,0.8443
,18,9,0.9012,0.8083,0.8525
,18,10,0.8975,0.8333,0.8443
,19,1,0.9082,0.825,0.8525
,19,2,0.9012,0.8333,0.8443
,19,3,0.8947,0.8167,0.8361
,19,4,0.9009,0.825,0.8279
,19,5,0.8966,0.825,0.8443
,19,6,0.9022,0.8,0.8443
,19,7,0.8995,0.8333,0.8443
,19,8,0.9037,0.8333,0.8443
,19,9,0.9011,0.8417,0.8279
,19,10,0.8948,0.8083,0.8361
,20,1,0.8997,0.8333,0.8197
,20,2,0.898,0.8167,0.8525
,20,3,0.9003,0.825,0.8443
,20,4,0.9006,0.8333,0.8443
,20,5,0.9031,0.825,0.8443
,20,6,0.8963,0.8333,0.8361
,20,7,0.903,0.8333,0.8443
,20,8,0.908,0.825,0.8525
,20,9,0.9008,0.8333,0.8525
,20,10,0.9018,0.8333,0.8525
,21,1,0.9071,0.8333,0.8279
,21,2,0.9048,0.825,0.8361
,21,3,0.9004,0.825,0.8279
,21,4,0.9058,0.8333,0.8279
,21,5,0.9037,0.825,0.8443
,21,6,0.9053,0.825,0.8443
,21,7,0.8948,0.825,0.8279
,21,8,0.9028,0.8417,0.8361
,21,9,0.9028,0.8417,0.8607
,21,10,0.9029,0.8417,0.8607
,22,1,0.9023,0.8333,0.8279
,22,2,0.904,0.8333,0.8279
,22,3,0.9029,0.8333,0.8361
,22,4,0.9048,0.8333,0.8361
,22,5,0.8998,0.8333,0.8443
,22,6,0.9005,0.825,0.8361
,22,7,0.8994,0.825,0.8279
,22,8,0.9008,0.825,0.8443
,22,9,0.9045,0.8333,0.8361
,22,10,0.9107,0.8333,0.8443
,23,1,0.8996,0.8333,0.8197
,23,2,0.9064,0.8417,0.8525
,23,3,0.9029,0.825,0.8361
,23,4,0.9038,0.825,0.8443
,23,5,0.8971,0.8333,0.8361
,23,6,0.9018,0.825,0.8443
,23,7,0.9041,0.8417,0.8443
,23,8,0.9011,0.8333,0.8279
,23,9,0.8969,0.8333,0.8361
,23,10,0.9069,0.8333,0.8279
,24,1,0.9021,0.8333,0.8443
,24,2,0.9048,0.825,0.8361
,24,3,0.9044,0.8417,0.8279
,24,4,0.896,0.8417,0.8443
,24,5,0.9016,0.8333,0.8607
,24,6,0.9021,0.825,0.8443
,24,7,0.9055,0.825,0.8361
,24,8,0.9057,0.8333,0.8607
,24,9,0.8947,0.8417,0.8525
,24,10,0.9019,0.85,0.8279
,25,1,0.899,0.8333,0.8279
,25,2,0.9035,0.8333,0.8279
,25,3,0.8994,0.8167,0.8607
,25,4,0.9031,0.8333,0.8443
,25,5,0.8941,0.8417,0.8443
,25,6,0.9109,0.85,0.8361
,25,7,0.9036,0.85,0.8279
,25,8,0.9041,0.8417,0.8361
,25,9,0.8999,0.8333,0.8361
,25,10,0.894,0.8333,0.8361
,26,1,0.9003,0.825,0.8279
,26,2,0.9021,0.825,0.8361
,26,3,0.9018,0.8167,0.8279
,26,4,0.8957,0.825,0.8525
,26,5,0.9096,0.8333,0.8361
,26,6,0.8973,0.8333,0.8361
,26,7,0.8997,0.8417,0.8361
,26,8,0.8962,0.8333,0.8361
,26,9,0.9038,0.8167,0.8443
,26,10,0.9094,0.8417,0.8279
,27,1,0.9043,0.8167,0.8361
,27,2,0.8988,0.8333,0.8115
,27,3,0.8992,0.8333,0.8279
,27,4,0.9011,0.8167,0.8525
,27,5,0.8997,0.825,0.8361
,27,6,0.8985,0.8417,0.8443
,27,7,0.9022,0.8333,0.8361
,27,8,0.9002,0.825,0.8279
,27,9,0.8919,0.8333,0.8279
,27,10,0.9032,0.825,0.8361
,28,1,0.8997,0.8417,0.8607
,28,2,0.9084,0.8333,0.8279
,28,3,0.9028,0.825,0.8361
,28,4,0.9036,0.8167,0.8443
,28,5,0.9072,0.8417,0.8361
,28,6,0.902,0.8333,0.8443
,28,7,0.8993,0.85,0.8361
,28,8,0.9011,0.8417,0.8361
,28,9,0.8966,0.8083,0.8361
,28,10,0.896,0.8083,0.8361
,29,1,0.8989,0.85,0.8525
,29,2,0.9028,0.8333,0.8525
,29,3,0.8984,0.85,0.8525
,29,4,0.8964,0.85,0.8525
,29,5,0.8991,0.85,0.8525
,29,6,0.8978,0.85,0.8525
,29,7,0.9074,0.8333,0.8607
,29,8,0.8942,0.825,0.8607
,29,9,0.8981,0.8417,0.8443
,29,10,0.8934,0.8417,0.8525
,30,1,0.8994,0.8333,0.8115
,30,2,0.9063,0.8083,0.8279
,30,3,0.893,0.8333,0.8443
,30,4,0.9035,0.8417,0.8279
,30,5,0.9005,0.8333,0.8443
,30,6,0.9001,0.8167,0.8443
,30,7,0.9005,0.8333,0.8361
,30,8,0.9039,0.825,0.8197
,30,9,0.8984,0.8167,0.8279
,30,10,0.9025,0.8417,0.8197
,31,1,0.8974,0.8417,0.8361
,31,2,0.9004,0.8417,0.8197
,31,3,0.8999,0.825,0.8361
,31,4,0.9032,0.85,0.8443
,31,5,0.8995,0.8417,0.8279
,31,6,0.8982,0.85,0.8279
,31,7,0.8952,0.8417,0.8361
,31,8,0.8895,0.825,0.8443
,31,9,0.8981,0.825,0.8443
,31,10,0.8968,0.825,0.8361
,32,1,0.9029,0.8417,0.8361
,32,2,0.895,0.825,0.8197
,32,3,0.8908,0.825,0.8443
,32,4,0.8916,0.8333,0.8361
,32,5,0.8969,0.825,0.8197
,32,6,0.8933,0.85,0.8279
,32,7,0.894,0.8167,0.8279
,32,8,0.8994,0.85,0.8279
,32,9,0.8965,0.8333,0.8361
,32,10,0.8988,0.825,0.8279
,33,1,0.8964,0.8167,0.8279
,33,2,0.894,0.825,0.8279
,33,3,0.8945,0.825,0.8443
,33,4,0.905,0.8333,0.8197
,33,5,0.897,0.8167,0.8361
,33,6,0.9004,0.8333,0.8443
,33,7,0.8957,0.8333,0.8361
,33,8,0.8928,0.8333,0.8197
,33,9,0.8885,0.8167,0.8279
,33,10,0.8985,0.8083,0.8525
,34,1,0.9001,0.8417,0.8279
,34,2,0.9016,0.8333,0.8279
,34,3,0.8916,0.825,0.8197
,34,4,0.8903,0.8167,0.8607
,34,5,0.8897,0.8167,0.8197
,34,6,0.8956,0.8083,0.8361
,34,7,0.8991,0.825,0.8033
,34,8,0.8858,0.825,0.8361
,34,9,0.8909,0.8167,0.8443
,34,10,0.8943,0.825,0.8361
,35,1,0.8878,0.8,0.8525
,35,2,0.8992,0.825,0.8525
,35,3,0.8933,0.8083,0.8525
,35,4,0.8959,0.825,0.8443
,35,5,0.8916,0.8083,0.8361
,35,6,0.8956,0.8167,0.8525
,35,7,0.8926,0.8167,0.8361
,35,8,0.8891,0.825,0.8443
,35,9,0.8919,0.825,0.8115
,35,10,0.8949,0.8083,0.8443
,36,1,0.8936,0.825,0.8279
,36,2,0.89,0.825,0.8443
,36,3,0.8852,0.8167,0.8607
,36,4,0.8792,0.8167,0.8197
,36,5,0.8883,0.8,0.8443
,36,6,0.8952,0.7917,0.8443
,36,7,0.893,0.8083,0.8443
,36,8,0.8921,0.8167,0.8197
,36,9,0.89,0.8,0.8525
,36,10,0.8922,0.8167,0.8443
