,V1,V2,V3,V4,V5,V6,V7,V8
results,Fold,Number of features,AUC_train,Accuracy_bacterial_train,Accuracy_viral_train,AUC_test,Accuracy_bacterial_test,Accuracy_viral_test
,1,8,0.820997941,0.712871287,0.831683168,0.774193548,0.741935484,0.740740741
,2,8,0.793981481,0.722222222,0.842592593,0.853571429,0.708333333,0.914285714
,3,8,0.798963973,0.775510204,0.785714286,0.857647059,0.794117647,0.8
,4,8,0.796476403,0.714285714,0.803571429,0.814102564,0.75,0.820512821
,5,8,0.826108913,0.779816514,0.816513761,0.741614907,0.695652174,0.742857143
