,V1,V2,V3,V4,V5,V6,V7,V8
results,Fold,Number of top features,AUC_train,Accuracy_bacterial_train,Accuracy_viral_train,AUC_test,Accuracy_bacterial_test,Accuracy_viral_test
,3,7,0.8668263,0.8469388,0.7755102,0.9094118,0.8823529,0.72
,3,8,0.8788005,0.8367347,0.7857143,0.9211765,0.9117647,0.8
,3,9,0.8838505,0.8265306,0.7857143,0.9282353,0.9117647,0.76
,3,10,0.8790088,0.8469388,0.7653061,0.9164706,0.8823529,0.84
,3,11,0.8869742,0.8265306,0.7857143,0.9117647,0.8823529,0.8
,3,12,0.894419,0.8469388,0.7653061,0.9329412,0.9411765,0.8
,3,13,0.8861933,0.8367347,0.8163266,0.9282353,0.9411765,0.8
,3,14,0.8982716,0.8469388,0.8265306,0.937647,0.9411765,0.88
,3,15,0.893586,0.8469388,0.8163266,0.9294118,0.9411765,0.88
,3,16,0.9013953,0.877551,0.7959183,0.9270588,0.9411765,0.84
,3,17,0.8939505,0.8673469,0.7755102,0.9270588,0.9411765,0.84
,3,18,0.8928571,0.8571429,0.8163266,0.922353,0.9411765,0.88
,3,19,0.8968659,0.8469388,0.8265306,0.92,0.9411765,0.88
,3,20,0.894471,0.8469388,0.8367347,0.93,0.9411765,0.88
,3,21,0.8990004,0.8367347,0.8163266,0.9258823,0.9411765,0.88
,3,22,0.8921283,0.8469388,0.7755102,0.9247059,0.9411765,0.84
,3,23,0.8924407,0.8367347,0.7959183,0.9270588,0.9411765,0.88
,3,24,0.8918159,0.8367347,0.8163266,0.9388235,0.9411765,0.84
,3,25,0.894419,0.8265306,0.8061224,0.9317647,0.9411765,0.88
,3,26,0.8981674,0.8469388,0.8265306,0.922353,0.9411765,0.88
,3,27,0.8940025,0.8163266,0.8061224,0.9317647,0.9117647,0.8
,3,28,0.8908788,0.8367347,0.7959183,0.9364706,0.9411765,0.88
,3,29,0.8884839,0.8163266,0.8163266,0.9294118,0.9117647,0.88
,3,30,0.8898897,0.8469388,0.8265306,0.92,0.9117647,0.8
,3,31,0.8936901,0.8163266,0.8163266,0.9329412,0.9117647,0.88
,3,32,0.8902541,0.8367347,0.8163266,0.9388235,0.9411765,0.88
,3,33,0.8962151,0.8673469,0.8061224,0.9341177,0.9117647,0.88
,3,34,0.897855,0.8061224,0.8265306,0.9211765,0.9117647,0.88
,3,35,0.8974386,0.8265306,0.8163266,0.9294118,0.9411765,0.84
,3,36,0.8983757,0.8061224,0.8571429,0.9470588,0.9411765,0.84
,4,1,0.7153221,0.6339286,0.6696429,0.8294872,0.75,0.6923077
,4,2,0.7879464,0.6875,0.7142857,0.876282,0.75,0.7435898
,4,3,0.8478954,0.7857143,0.7767857,0.8871795,0.9,0.7692308
,4,4,0.8671078,0.8125,0.8035714,0.9064103,0.9,0.7948718
,4,5,0.8749203,0.8214286,0.7857143,0.9038461,0.85,0.7435898
,4,6,0.877551,0.8303571,0.7946429,0.9230769,0.9,0.8205128
,4,7,0.8803014,0.8392857,0.8214286,0.925641,0.9,0.7435898
,4,8,0.8892698,0.8392857,0.8035714,0.9307692,0.95,0.7692308
,4,9,0.8946109,0.8571429,0.8303571,0.9166667,0.95,0.8205128
,4,10,0.8998724,0.8303571,0.8214286,0.9384615,0.95,0.8205128
,4,11,0.8924586,0.8571429,0.8125,0.9346154,0.95,0.7948718
,4,12,0.8976802,0.8571429,0.8214286,0.9346154,0.95,0.7948718
,4,13,0.8938138,0.8392857,0.8392857,0.9397436,0.95,0.7692308
,4,14,0.8897481,0.8303571,0.8125,0.9448718,0.95,0.7948718
,4,15,0.8975008,0.8482143,0.8392857,0.9333333,0.95,0.7948718
,4,16,0.8996333,0.8125,0.8303571,0.9333333,0.95,0.8205128
,4,17,0.898876,0.8303571,0.8392857,0.9346154,0.95,0.7948718
,4,18,0.8928372,0.8571429,0.8125,0.9371795,0.95,0.7948718
,4,19,0.8890306,0.8392857,0.8214286,0.924359,0.95,0.8205128
,4,20,0.8967634,0.8303571,0.8392857,0.9346154,0.95,0.8205128
,4,21,0.895727,0.8571429,0.8392857,0.9397436,0.95,0.8205128
,4,22,0.8969627,0.8125,0.8303571,0.9371795,0.95,0.7948718
,4,23,0.8950096,0.8125,0.8392857,0.9275641,0.95,0.7948718
,4,24,0.8967235,0.8392857,0.8303571,0.9307692,0.95,0.7948718
